heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,canonical_url
Skjermkort MSI GeForce GTX 1070 ARMOR 8G OC,1100,GeForce GTX 1070 8 GB,NVIDIA,gtx 1070,,gtx 1070,https://www.finn.no/bap/forsale/ad.html?finnkode=343030548
 B250 mining hovedkort 12 skjermkort [CPU G3900 MEDFØLGER] ,3600,GeForce RTX 3060 Ti 8 GB,NVIDIA,3060 ti,,3060 ti,https://www.finn.no/bap/forsale/ad.html?finnkode=236227325
AMD RX skjermkort; 5600 XT og 6800 XT,1300,Radeon RX 5600 XT 6 GB,AMD,5600 xt,,5600 xt,https://www.finn.no/bap/forsale/ad.html?finnkode=362401743
Skjermkort,1500,Radeon RX 5700 8 GB,AMD,rx 5700,,rx 5700,https://www.finn.no/bap/forsale/ad.html?finnkode=371591158
Skjermkort GTX 1070TI 8GB,1200,GeForce GTX 1070 Ti 8 GB,NVIDIA,gtx 1070 ti,8,gtx 1070 ti,https://www.finn.no/bap/forsale/ad.html?finnkode=371595804
Skjermkort Nvidia Titan X 12 GB,2200,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=254206491
Skjermkort Gigabyte RTX 3070ti,5800,GeForce RTX 3070 Ti 8 GB,NVIDIA,rtx 3070 ti,,rtx 3070 ti,https://www.finn.no/bap/forsale/ad.html?finnkode=349072622
Quadro P2200 skjermkort,3500,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=370254835
Skjermkort - GeForce GTX 1070,2000,GeForce GTX 1070 8 GB,NVIDIA,gtx 1070,,gtx 1070,https://www.finn.no/bap/forsale/ad.html?finnkode=369908670
EVGA GEFORCE RTX 2070 Super XC Ultra Skjermkort,2750,GeForce RTX 2070 SUPER 8 GB,NVIDIA,rtx 2070 super,,rtx 2070 super,https://www.finn.no/bap/forsale/ad.html?finnkode=369797821
Ati rage fury maxx agp skjermkort,2000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=333629803
Skjermkort Nvidia RTX 3080 OEM - 10 gb,7500,GeForce RTX 3080 10 GB,NVIDIA,rtx 3080,10,rtx 3080,https://www.finn.no/bap/forsale/ad.html?finnkode=369442800
2080 skjermkort,1800,GeForce RTX 2080 8 GB,NVIDIA,2080,,2080,https://www.finn.no/bap/forsale/ad.html?finnkode=369063129
2400w psu. 1200w psu. 750w psu. Hovedkort. Skjermkort etc,2000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=368419172
Pc mangler skjermkort,3200,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=368297997
Viftefrie skjermkort,1180,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=350424764
Iwill 4U-BTC-8 Mining rig klar for skjermkort,4000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=305845299
"Kraftig Lenovo Gaming PC i5(10) generasjon, 512GB  SSD, 16GB RAM, 4GB skjermkort",3499,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=367372029
Asus 3070 Turbo skjermkort til salgs,4000,GeForce RTX 3070 8 GB,NVIDIA,3070,,3070,https://www.finn.no/bap/forsale/ad.html?finnkode=367134296
PNY 3070 skjermkort til salgs,4000,GeForce RTX 3070 8 GB,NVIDIA,3070,,3070,https://www.finn.no/bap/forsale/ad.html?finnkode=367134036
Zotac 3060TI skjermkort til salgs,3000,GeForce RTX 3060 Ti 8 GB,NVIDIA,3060 ti,,3060 ti,https://www.finn.no/bap/forsale/ad.html?finnkode=367133770
MSI GTX 1080 SEAHAWK væskeavkjølt skjermkort,1600,GeForce GTX 1080 8 GB,NVIDIA,gtx 1080,,gtx 1080,https://www.finn.no/bap/forsale/ad.html?finnkode=354559137
GIGABYTE GeForce RTX 3070 AORUS MASTER 8GB GRAFIKKORT,3900,GeForce RTX 3070 8 GB,NVIDIA,rtx 3070,8,rtx 3070,https://www.finn.no/recommerce/forsale/item/374780709
"STRØKEN iMac 21,5 late 2013, firekjærners i5, 8 GB RAM, 1 TB disk - SPREK iMAC!",3500,Unknown,,2013,8,,https://www.finn.no/recommerce/forsale/item/331444196
PC til basic gaming,4000,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/374651884
Intel NUC i3 Kraftig Mini pc,2499,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=331954730
Nybygd gaming-pc,5800,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/373757685
Gaming PC | Komplett Gamer Premium i170,7000,Unknown,,,,,https://www.finn.no/bap/forsale/ad.html?finnkode=368249263
Stasjonær PC - WIN11 aktivert med alle sikkerhetsfunksjoner,2500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375727257
"iMac 27 late 2012 med splitter ny Samsung SSD, Sonoma - grom Mac!",3900,Unknown,,2012,,,https://www.finn.no/bap/forsale/ad.html?finnkode=368677334
XFX Radeon RX 6800 XT 16GB Speedster MERC 319,5000,Radeon RX 6800 XT 16 GB,AMD,rx 6800 xt,16,rx 6800 xt,https://www.finn.no/recommerce/forsale/item/375364241
Palit Geforce RTX 2060 GamingPRO OC,1200,GeForce RTX 2060 6 GB,NVIDIA,rtx 2060,,rtx 2060,https://www.finn.no/recommerce/forsale/item/376248746
Asus GeForce ROG Strix RTX 2070 OC grafikkort 8G,2500,GeForce RTX 2070 8 GB,NVIDIA,rtx 2070,,rtx 2070,https://www.finn.no/recommerce/forsale/item/375233518
RTX 2060 6GB •RESERVERT•,1109,GeForce RTX 2060 6 GB,NVIDIA,rtx 2060,6,rtx 2060,https://www.finn.no/recommerce/forsale/item/375321896
GeForce RTX 3060 Ti VENTUS 2X OC,3500,GeForce RTX 3060 Ti 8 GB,NVIDIA,rtx 3060 ti,,rtx 3060 ti,https://www.finn.no/recommerce/forsale/item/376208776
ASUS ROG Strix GeForce GTX 1080Ti OC 11GB,2250,GeForce GTX 1080 Ti 11 GB,NVIDIA,gtx 1080 ti,11,gtx 1080 ti,https://www.finn.no/recommerce/forsale/item/375531879
Gigabyte Radeon RX 5700 XT Gaming OC 8GB,1500,Radeon RX 5700 XT 8 GB,AMD,rx 5700 xt,8,rx 5700 xt,https://www.finn.no/recommerce/forsale/item/376193084
Gigabyte RTX 3080 10Gb Eagle OC,5000,GeForce RTX 3080 10 GB,NVIDIA,rtx 3080,10,rtx 3080,https://www.finn.no/recommerce/forsale/item/374149791
Stasjonær PC,3500,Unknown,,,,,https://www.finn.no/recommerce/forsale/item/375403876
RTX 3080Ti 12 Gb Gigabyte Gaming OS,6000,GeForce RTX 3080 Ti 12 GB,NVIDIA,rtx 3080 ti,12,rtx 3080 ti,https://www.finn.no/recommerce/forsale/item/374978231
ASUS Dual Radeon RX 7700 XT OC 12 GB,4990,Radeon RX 7700 XT 12 GB,AMD,rx 7700 xt,12,rx 7700 xt,https://www.finn.no/recommerce/forsale/item/376106515
