heading,price,model,extracted_brand,extracted_model,extracted_vram,matched_model_number,match_count,seller,canonical_url
"Hovedkort, CPU og Skjermkort selges",1600,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=373740208
Rtx 2080super phantom skjermkort,2000,GeForce RTX 2080 SUPER 8 GB,NVIDIA,rtx 2080 super,,rtx 2080 super,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=373724105
Skjermkort - Sapphire Pulse RX 580 8GB,1000,Radeon RX 580 8 GB,AMD,rx 580,8,rx 580,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=328239638
Salg på palit 3070 rtx skjermkort! Salg!,4000,GeForce RTX 3070 8 GB,NVIDIA,3070,,3070,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=373202202
Gainward Salg på 3070 rtx skjermkort! Salg!,4000,GeForce RTX 3070 8 GB,NVIDIA,3070,,3070,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=373202118
Selger 9 stk skjermkort!,2500,Multi,AMD,"['rx 5700', '1080 ti']",,"['rx 5700', '1080 ti']",2,,https://www.finn.no/bap/forsale/ad.html?finnkode=301727097
Selger kabinett samt power supply og skjermkort. Det medfører et hovedkort.,2000,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=372850314
RX6750 Skjermkort,3500,Unknown,AMD,rx 6750,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=355002214
GTX skjermkort,2000,Multi,NVIDIA,"['gtx 1660 super', 'rtx 3060 ti']",,"['gtx 1660 super', 'rtx 3060 ti']",2,,https://www.finn.no/bap/forsale/ad.html?finnkode=343360620
Skjermkort MSI GeForce GTX 1070 ARMOR 8G OC,1100,GeForce GTX 1070 8 GB,NVIDIA,gtx 1070,,gtx 1070,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=343030548
 B250 mining hovedkort 12 skjermkort [CPU G3900 MEDFØLGER] ,3600,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=236227325
AMD RX skjermkort; 5600 XT og 6800 XT,1200,Multi,AMD,"['5600 xt', '6800 xt']",,"['5600 xt', '6800 xt']",2,,https://www.finn.no/bap/forsale/ad.html?finnkode=362401743
Skjermkort,1500,Radeon RX 5700 8 GB,AMD,rx 5700,,rx 5700,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=371591158
Skjermkort GTX 1070TI 8GB,1200,GeForce GTX 1070 Ti 8 GB,NVIDIA,gtx 1070 ti,8,gtx 1070 ti,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=371595804
Skjermkort Nvidia Titan X 12 GB,2200,Unknown,NVIDIA,,12,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=254206491
Skjermkort Gigabyte RTX 3070ti,5800,GeForce RTX 3070 Ti 8 GB,NVIDIA,rtx 3070 ti,,rtx 3070 ti,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=349072622
Quadro P2200 skjermkort,3500,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=370254835
Skjermkort - GeForce GTX 1070,2000,GeForce GTX 1070 8 GB,NVIDIA,gtx 1070,,gtx 1070,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=369908670
EVGA GEFORCE RTX 2070 Super XC Ultra Skjermkort,2750,GeForce RTX 2070 SUPER 8 GB,NVIDIA,rtx 2070 super,,rtx 2070 super,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=369797821
Ati rage fury maxx agp skjermkort,2000,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=333629803
Skjermkort Nvidia RTX 3080 OEM - 10 gb,7500,GeForce RTX 3080 10 GB,NVIDIA,rtx 3080,10,rtx 3080,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=369442800
2080 skjermkort,1800,GeForce RTX 2080 8 GB,NVIDIA,2080,,2080,1,,https://www.finn.no/bap/forsale/ad.html?finnkode=369063129
2400w psu. 1200w psu. 750w psu. Hovedkort. Skjermkort etc,2000,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=368419172
Viftefrie skjermkort,1180,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=350424764
Iwill 4U-BTC-8 Mining rig klar for skjermkort,4000,Unknown,,,,,0,,https://www.finn.no/bap/forsale/ad.html?finnkode=305845299
